Date,USD/INR
02-01-1973,8.02
03-01-1973,8.02
04-01-1973,8
05-01-1973,8.01
08-01-1973,8
09-01-1973,8
10-01-1973,8
11-01-1973,8
12-01-1973,8
15-01-1973,8
16-01-1973,8.01
17-01-1973,8.01
18-01-1973,8.01
19-01-1973,8
22-01-1973,8
23-01-1973,8
24-01-1973,8
25-01-1973,8
26-01-1973,8
29-01-1973,8.01
30-01-1973,8
31-01-1973,8
01-02-1973,8
02-02-1973,8
05-02-1973,7.97
06-02-1973,8
07-02-1973,8
08-02-1973,8.01
09-02-1973,8.01
12-02-1973,
13-02-1973,
14-02-1973,
15-02-1973,7.58
16-02-1973,7.58
19-02-1973,
20-02-1973,7.58
21-02-1973,7.58
22-02-1973,7.58
23-02-1973,7.58
26-02-1973,7.55
27-02-1973,7.52
28-02-1973,7.52
01-03-1973,7.55
02-03-1973,
05-03-1973,
06-03-1973,7.35
07-03-1973,7.19
08-03-1973,7.25
09-03-1973,7.55
12-03-1973,7.52
13-03-1973,7.52
14-03-1973,7.94
15-03-1973,7.52
16-03-1973,7.81
19-03-1973,7.6
20-03-1973,7.58
21-03-1973,7.58
22-03-1973,7.58
23-03-1973,7.58
26-03-1973,7.58
27-03-1973,7.55
28-03-1973,7.55
29-03-1973,7.58
30-03-1973,7.55
02-04-1973,7.58
03-04-1973,7.55
04-04-1973,7.55
05-04-1973,7.55
06-04-1973,7.55
09-04-1973,7.55
10-04-1973,7.55
11-04-1973,7.52
12-04-1973,7.5
13-04-1973,7.52
16-04-1973,7.52
17-04-1973,7.55
18-04-1973,7.55
19-04-1973,7.55
20-04-1973,7.55
23-04-1973,7.55
24-04-1973,7.56
25-04-1973,7.55
26-04-1973,7.56
27-04-1973,7.58
30-04-1973,7.53
01-05-1973,7.54
02-05-1973,7.52
03-05-1973,7.55
04-05-1973,7.55
07-05-1973,7.55
08-05-1973,7.55
09-05-1973,7.52
10-05-1973,7.52
11-05-1973,7.52
14-05-1973,7.46
15-05-1973,7.46
16-05-1973,7.49
17-05-1973,7.52
18-05-1973,7.52
21-05-1973,7.52
22-05-1973,7.52
23-05-1973,7.52
24-05-1973,7.46
25-05-1973,7.41
28-05-1973,
29-05-1973,7.4
30-05-1973,7.35
31-05-1973,7.39
01-06-1973,7.25
04-06-1973,7.22
05-06-1973,7.22
06-06-1973,7.27
07-06-1973,7.25
08-06-1973,7.3
11-06-1973,7.3
12-06-1973,7.33
13-06-1973,7.33
14-06-1973,7.26
15-06-1973,7.3
18-06-1973,7.25
19-06-1973,7.25
20-06-1973,7.25
21-06-1973,7.25
22-06-1973,7.3
25-06-1973,7.27
26-06-1973,7.27
27-06-1973,7.27
28-06-1973,7.27
29-06-1973,7.3
02-07-1973,7.3
03-07-1973,7.27
04-07-1973,
05-07-1973,7.27
06-07-1973,7.3
09-07-1973,7.3
10-07-1973,7.3
11-07-1973,7.3
12-07-1973,7.25
13-07-1973,7.3
16-07-1973,7.3
17-07-1973,7.27
18-07-1973,7.27
19-07-1973,7.27
20-07-1973,7.41
23-07-1973,7.41
24-07-1973,7.46
25-07-1973,7.46
26-07-1973,7.46
27-07-1973,7.49
30-07-1973,7.49
31-07-1973,7.49
01-08-1973,7.49
02-08-1973,7.49
03-08-1973,7.49
06-08-1973,7.52
07-08-1973,7.52
08-08-1973,7.46
09-08-1973,7.49
10-08-1973,7.49
13-08-1973,7.62
14-08-1973,7.58
15-08-1973,7.6
16-08-1973,7.58
17-08-1973,7.66
20-08-1973,7.66
21-08-1973,7.66
22-08-1973,7.6
23-08-1973,7.6
24-08-1973,7.6
27-08-1973,7.58
28-08-1973,7.58
29-08-1973,7.55
30-08-1973,7.58
31-08-1973,7.58
03-09-1973,
04-09-1973,7.58
05-09-1973,7.55
06-09-1973,7.58
07-09-1973,7.58
10-09-1973,7.6
11-09-1973,7.6
12-09-1973,7.75
13-09-1973,7.78
14-09-1973,7.78
17-09-1973,7.75
18-09-1973,7.78
